codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria,imagem,catalogo
334,AUTO BROCANTE ARRUELA FIXA TER,"9,000",CT,91.46,0.0,KL VITORIA - COM. D,FERRAMENTAS,334_AUTO_BROCANTE_ARRUELA_FIXA_TERMO_ACUSTICO_RUSPERT_12 X 5_5_5 X 127_P06444.jpg,SIM
332,AUTO BROCANTE ARRUELA FIXA EPD,"10,000",CT,108.67,0.0,KL VITORIA - COM. D,FERRAMENTAS,332_AUTO_BROCANTE_ARRUELA_FIXA_EPDM_RUSPERT_TERMO_ACUSTICO_12 X 3.1_2 _5.5 X90.jpg,SIM
124,AUTO BROCANTE ARRUELA MOVEL B,"5,000",CT,97.78,0.0,KL VITORIA - COM. D,FERRAMENTAS,124_AUTO_BROCANTE_ARRUELA_MOVEL_BW_12 X 3_4_ 5.5 X 19_ZINCADO_P03184.jpg,SIM
272,AUTO BROCANTE ARRUELA MOVEL B,"6,000",CT,68.46,0.0,KL VITORIA - COM. D,FERRAMENTAS,272_AUTO_BROCANTE_ARRUELA_MOVEL_BW_12 X 5_5.5 X 125_ZINCADO_P01050.jpg,SIM
279,AUTO BROCANTE ARRUELA MOVEL B,"0,000",CX,0.0,0.0,KL VITORIA - COM. D,FERRAMENTAS,,SIM
275,AUTO BROCANTE ARRUELA MOVEL B,"4,000",CX,53.31,0.0,KL VITORIA - COM. D,FERRAMENTAS,275_AUTO_BROCANTE_ARRUELA_MOVEL_BW_PROFISSIONAL_12 X 4_5.5 X 102_ZINCADO_100_ PCS.jpg,SIM
125,AUTO BROCANTE COSTURA TELHA/T,"27,000",CT,84.24,0.0,KL VITORIA - COM. D,FERRAMENTAS,125_AUTO_BROCANTE_COSTURA_TELHA_TELHA ARRUELA_MOVEL_BW_12 X 7_8_P03221.jpg,SIM
327,AUTO PERFURANTE STEEL TILE IN WO,"1,000",CE,112.26,0.0,KL VITORIA - COM. D,FERRAMENTAS,327_AUTO_PERFURANTE_STEEL_TILE_IN_WOOD_15_3_1_2 5.5_90_P04297.jpg,SIM
328,AUTO PERFURANTE STEEL TILE IN WO,"4,000",CT,91.42,0.0,KL VITORIA - COM. D,FERRAMENTAS,328_AUTO_PERFURANTE_STEEL_TILE_IN_WOOD_15X4_1_2_5.5 X 115.jpg,SIM
325,AUTO PERFURANTE STEEL TILE IN WO,"36,000",CT,123.2,0.0,KL VITORIA - COM. D,FERRAMENTAS,325_AUTO_PERFURANTE_STEEL_TILE_IN_WOOD_17X1_1 1_1_2_4.8X38_P04020.jpg,SIM
388,"BASTAO DE COLA, P/ PISTOLA DE COL","21,000",PC,48.94,0.0,SETE MARES COMER,UTILIDADES,388_BASTAO_DE_COLA_PISTOLA_DE_COLA_QUENTE.jpeg,SIM
389,"BASTAO DE COLA, P/ PISTOLA DE COL","43,000",UN,48.94,0.0,SETE MARES COMER,UTILIDADES,389_BASTAO_DE_COLA_PISTOLA_DE_COLA_QUENTE.jpeg,SIM
166,BENJAMIN LATAO 3 SAIDAS,"0,000",UN,3.43,0.0,,ELETRICA,166_benjamin_latao_3saidas.png,SIM
226,BENJAMIN T 3 SAIDAS,"-30,000",UN,2.75,0.0,,ELETRICA,226_benjamin_t_3saidas.png,SIM
227,BOB-PORCELANA,"579,000",UN,2.75,0.0,,ELETRICA,227_bob_porcelana.jpg,SIM
314,"BOMBA DE AR, DE USO MANUAL 55C","34,000",UN,16.82,0.0,SETE MARES COMER,UTILIDADES,314_BOMBA_DE_AR_DE_USO_MANUAL_55CMX3MM_KIT_INFLAVEL.jpg,SIM
238,BROCA ACO RAPIDO 10X2.5MM,"0,000",UN,2.51,0.0,DIAMETALIC FERRA,FERRAMENTAS,238_BROCA_ACO_RAPIDO_10X2_5MM.jpg,SIM
309,"BROCA ACO RAPIDO 2,8MM","39,000",UN,1.28,0.0,DIAMETALIC FERRA,FERRAMENTAS,309_BROCA_ACO_RAPIDO_2_8MM.jpg,SIM
237,BROCA ACO RAPIDO HSS-G 10X1.5M,"0,000",UN,1.4,0.0,DIAMETALIC FERRA,FERRAMENTAS,237_BROCA_ACO_RAPIDO_HSS_G_10X1_5M.jpg,SIM
407,BROCA CHATA 10MM,"6,000",UN,3.12,0.0,KL VITORIA - COM. D,FERRAMENTAS,407_BROCA_CHATA_10MM.jpeg,SIM
