linha
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 1 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"45 AR0469 - JOGO DE SOQUETE/CANHAO - -2,000 UN 16,520000 0,000000 STARTOOLS FERRA"
"46 AR0566 - ABRACADEIRA NYLON PRETA 56,000 UN 13,130000 0,000000 STARTOOLS FERRA"
"47 AR0673 - ALICATE DESENCAPADOR E C 16,000 UN 42,900000 0,000000 STARTOOLS FERRA"
"48 AR0706 - JOGO CHAVE COMBINADA C/ 4,000 UN 26,960000 0,000000 STARTOOLS FERRA"
"52 AR0728 - JOGO CHAVE FIXA C/12PCS 6X 0,000 UN 71,000000 0,000000 STARTOOLS FERRA"
"53 AR3000 - ETANIZ GAS PARA MACARICO 13,000 UN 16,990000 0,000000 SETE MARES COMER"
"387 ARCO DE SERRA 32,000 UN 14,940000 0,000000 SETE MARES COMER"
"373 ARCO DE SERRA 4,000 UN 19,990000 0,000000 KL VITORIA - COM. D"
"331 AUTO BROCANTE ARRUELA FIXA TER 12,000 CT 111,100000 0,000000 KL VITORIA - COM. D"
"330 AUTO BROCANTE ARRUELA FIXA TER 12,000 CT 110,590000 0,000000 KL VITORIA - COM. D"
"333 AUTO BROCANTE ARRUELA FIXA TER 9,000 CT 78,300000 0,000000 KL VITORIA - COM. D"
"334 AUTO BROCANTE ARRUELA FIXA TER 9,000 CT 91,460000 0,000000 KL VITORIA - COM. D"
"332 AUTO BROCANTE ARRUELA FIXA EPD 10,000 CT 108,670000 0,000000 KL VITORIA - COM. D"
"124 AUTO BROCANTE ARRUELA MOVEL B 5,000 CT 97,780000 0,000000 KL VITORIA - COM. D"
"272 AUTO BROCANTE ARRUELA MOVEL B 6,000 CT 68,460000 0,000000 KL VITORIA - COM. D"
"279 AUTO BROCANTE ARRUELA MOVEL B 0,000 CX 0,000000 0,000000 KL VITORIA - COM. D"
"275 AUTO BROCANTE ARRUELA MOVEL B 4,000 CX 53,310000 0,000000 KL VITORIA - COM. D"
"125 AUTO BROCANTE COSTURA TELHA/T 27,000 CT 84,240000 0,000000 KL VITORIA - COM. D"
"327 AUTO PERFURANTE STEEL TILE IN WO 1,000 CE 112,260000 0,000000 KL VITORIA - COM. D"
"328 AUTO PERFURANTE STEEL TILE IN WO 4,000 CT 91,420000 0,000000 KL VITORIA - COM. D"
"325 AUTO PERFURANTE STEEL TILE IN WO 36,000 CT 123,200000 0,000000 KL VITORIA - COM. D"
"388 BASTAO DE COLA, P/ PISTOLA DE COL 21,000 PC 48,940000 0,000000 SETE MARES COMER"
"389 BASTAO DE COLA, P/ PISTOLA DE COL 43,000 UN 48,940000 0,000000 SETE MARES COMER"
"166 BENJAMIN LATAO 3 SAIDAS 0,000 UN 3,430000 0,000000"
"226 BENJAMIN T 3 SAIDAS -30,000 UN 2,750000 0,000000"
"227 BOB-PORCELANA 579,000 UN 2,750000 0,000000"
"314 BOMBA DE AR, DE USO MANUAL 55C 34,000 UN 16,820000 0,000000 SETE MARES COMER"
